Units,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1044,1045,1051,1054,1055
CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OZ,3321,1195,716,2121,912,265,523,173,341,279,4512,1438,17294,4445,1838,63,492,2594
PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQ FT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
