store_code_uc,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_all
17995,324,12,FL,13,CALHOUN,1,1,1,1,1,1,1,1,1,1,10
18073,18,25,MA,17,MIDDLESEX,1,1,1,1,1,1,1,1,1,1,10
18086,986,53,WA,15,COWLITZ,1,1,1,1,1,1,1,1,1,1,10
18412,74,34,NJ,37,SUSSEX,1,1,1,1,1,1,0,0,0,0,6
18783,275,37,NC,85,HARNETT,1,1,1,1,1,1,1,1,1,1,10
18801,762,48,TX,97,COOKE,1,1,1,1,1,1,1,1,1,1,10
18896,27,25,MA,5,BRISTOL,1,1,1,1,1,1,1,1,1,1,10
18942,339,12,FL,71,LEE,1,1,1,1,1,1,0,0,0,0,6
18963,750,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
19251,956,6,CA,61,PLACER,1,1,1,1,1,1,1,1,1,1,10
19698,89,34,NJ,23,MIDDLESEX,1,1,1,1,1,1,1,1,1,1,10
19852,415,21,KY,195,PIKE,1,1,1,1,1,1,1,1,1,1,10
19906,750,48,TX,113,DALLAS,1,1,1,1,1,1,1,1,1,1,10
19978,954,6,CA,97,SONOMA,1,1,1,1,1,1,1,1,1,1,10
20010,442,39,OH,169,WAYNE,1,1,1,1,1,1,1,1,1,1,10
20712,750,48,TX,85,COLLIN,1,1,1,1,1,1,1,1,1,1,10
20947,770,48,TX,201,HARRIS,1,1,1,1,1,1,1,1,1,1,10
21219,14,25,MA,27,WORCESTER,1,1,1,1,1,1,1,1,1,1,10
21590,954,6,CA,97,SONOMA,1,1,1,1,1,1,1,1,1,1,10
21867,420,21,KY,7,BALLARD,1,1,1,1,1,1,1,1,0,0,8
21916,604,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
21935,280,37,NC,25,CABARRUS,1,1,1,1,1,1,1,1,1,1,10
21966,79,34,NJ,27,MORRIS,1,1,1,1,1,1,1,1,1,1,10
21993,954,6,CA,97,SONOMA,1,1,1,1,1,1,1,1,1,1,10
22428,310,13,GA,169,JONES,1,1,1,1,1,1,1,1,1,0,9
22445,837,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
22696,328,12,FL,95,ORANGE,1,1,1,1,1,1,1,1,1,1,10
22741,283,37,NC,51,CUMBERLAND,1,1,1,1,1,1,1,1,1,1,10
22808,165,42,PA,49,ERIE,1,1,1,1,1,1,1,0,0,0,7
23261,120,36,NY,57,MONTGOMERY,1,1,1,1,1,1,1,1,1,1,10
23289,201,51,VA,107,LOUDOUN,1,1,1,1,1,1,0,0,0,0,6
23374,10,25,MA,13,HAMPDEN,1,1,1,1,1,1,1,1,0,0,8
23605,954,6,CA,97,SONOMA,1,1,1,1,1,1,1,1,1,1,10
23637,436,39,OH,95,LUCAS,1,1,1,1,1,1,1,1,1,1,10
24013,870,35,NM,61,VALENCIA,1,1,1,1,1,1,1,1,1,1,10
24027,710,22,LA,17,CADDO,1,1,1,1,1,1,1,1,1,1,10
24180,10,25,MA,13,HAMPDEN,1,1,1,1,1,1,1,1,1,1,10
24470,511,19,IA,193,WOODBURY,1,1,1,1,1,1,1,1,1,1,10
24846,386,28,MS,33,DE SOTO,1,1,1,1,1,1,1,1,1,0,9
25191,435,39,OH,173,WOOD,1,1,1,1,1,1,1,1,1,1,10
25249,675,20,KS,155,RENO,1,1,1,1,1,1,1,1,1,1,10
25295,756,48,TX,183,GREGG,1,1,1,1,1,1,1,1,1,1,10
25517,342,12,FL,115,SARASOTA,1,1,1,1,1,1,1,1,1,1,10
25652,382,47,TN,183,WEAKLEY,1,1,1,1,1,1,1,1,1,0,9
25679,18,25,MA,17,MIDDLESEX,1,1,1,1,1,1,0,0,0,0,6
25897,331,12,FL,86,MIAMI-DADE,1,1,1,1,1,1,0,0,0,0,6
25997,193,42,PA,45,DELAWARE,1,1,1,1,1,1,1,1,1,1,10
26458,432,39,OH,49,FRANKLIN,1,1,1,1,1,1,1,1,1,1,10
26549,281,37,NC,97,IREDELL,1,1,1,1,1,1,1,1,1,1,10
26679,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26861,775,48,TX,39,BRAZORIA,1,1,1,1,1,1,1,1,1,1,10
26992,770,48,TX,201,HARRIS,1,1,1,1,1,1,1,1,1,1,10
27229,331,12,FL,86,MIAMI-DADE,1,1,1,1,1,1,1,1,1,1,10
27396,500,19,IA,153,POLK,1,1,1,1,1,1,1,1,1,1,10
27492,471,18,IN,143,SCOTT,1,1,1,1,1,1,1,1,1,1,10
27558,604,17,IL,31,COOK,1,1,1,1,1,1,1,1,1,1,10
27667,109,36,NY,87,ROCKLAND,1,1,1,1,1,1,1,1,1,1,10
27726,207,24,MD,33,PRNC GEORGES,1,1,1,1,1,1,1,1,1,1,10
28117,551,27,MN,37,DAKOTA,1,1,1,1,1,1,1,1,1,1,10
28473,493,26,MI,107,MECOSTA,1,1,1,1,1,1,1,1,1,1,10
28532,291,45,SC,39,FAIRFIELD,1,1,1,1,1,1,1,0,0,0,7
28694,186,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28741,334,12,FL,99,PALM BEACH,1,1,1,1,1,1,1,1,1,1,10
28779,118,36,NY,59,NASSAU,1,1,1,1,1,1,1,1,1,1,10
28818,285,37,NC,147,PITT,1,1,1,1,1,1,1,1,1,1,10
28967,296,45,SC,45,GREENVILLE,1,1,1,1,1,1,0,0,0,0,6
29036,788,48,TX,323,MAVERICK,1,1,1,1,1,1,1,1,1,1,10
29220,980,53,WA,33,KING,1,1,1,1,1,1,1,1,1,1,10
29247,954,6,CA,97,SONOMA,1,1,1,1,1,1,1,1,1,1,10
29441,797,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
29623,980,53,WA,33,KING,1,1,1,1,1,1,1,1,1,1,10
29682,496,26,MI,165,WEXFORD,1,1,1,1,1,1,1,1,1,1,10
29995,741,40,OK,143,TULSA,1,1,1,1,1,1,1,1,1,1,10
30050,326,12,FL,1,ALACHUA,1,1,1,1,1,1,1,1,1,1,10
30131,633,29,MO,183,ST CHARLES,1,1,1,1,1,1,1,1,1,1,10
30709,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30891,128,36,NY,115,WASHINGTON,1,1,1,1,1,1,1,1,1,0,9
31063,482,26,MI,163,WAYNE,1,1,1,1,1,1,1,1,1,1,10
31159,327,12,FL,9,BREVARD,1,1,1,1,1,1,1,1,1,1,10
31294,378,47,TN,25,CLAIBORNE,1,1,1,1,1,1,1,1,1,1,10
31430,13,25,MA,11,FRANKLIN,1,1,1,1,1,1,1,1,1,1,10
31697,456,39,OH,53,GALLIA,1,1,1,1,1,1,1,1,1,0,9
32136,913,6,CA,111,VENTURA,1,1,1,1,1,1,1,1,1,0,9
32503,770,48,TX,201,HARRIS,1,1,1,1,1,1,1,1,1,1,10
32848,442,39,OH,153,SUMMIT,1,1,1,1,1,1,1,1,1,1,10
32906,775,48,TX,201,HARRIS,1,1,1,1,1,1,1,1,1,1,10
33933,613,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34518,18,25,MA,9,ESSEX,1,1,1,1,1,1,1,1,1,1,10
34545,321,12,FL,127,VOLUSIA,1,1,1,1,1,1,1,1,1,1,10
34739,293,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34886,344,12,FL,83,MARION,1,1,1,1,1,1,1,1,1,1,10
35142,285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35324,226,51,VA,171,SHENANDOAH,1,1,1,1,1,1,1,1,1,1,10
35754,322,12,FL,31,DUVAL,1,1,1,1,1,1,1,1,1,1,10
36130,60,9,CT,3,HARTFORD,1,1,1,1,1,1,1,1,1,1,10
36261,770,48,TX,201,HARRIS,1,1,1,1,1,1,0,0,0,0,6
36351,291,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36754,294,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36936,128,36,NY,115,WASHINGTON,1,1,1,1,1,1,1,1,1,1,10
36953,844,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
37076,10,25,MA,13,HAMPDEN,1,1,1,1,1,1,1,1,1,1,10
37086,853,4,AZ,13,MARICOPA,1,1,1,1,1,1,1,1,1,1,10
37339,64,9,CT,9,NEW HAVEN,1,1,1,1,1,1,1,1,1,1,10
37566,163,42,PA,39,CRAWFORD,1,1,1,1,1,1,1,1,1,1,10
37882,10,25,MA,27,WORCESTER,1,1,1,1,1,1,1,1,1,1,10
38444,372,47,TN,37,DAVIDSON,1,1,1,1,1,1,1,1,1,1,10
38916,301,13,GA,97,DOUGLAS,1,1,1,1,1,1,1,1,1,1,10
38951,622,17,IL,163,SAINT CLAIR,1,1,1,1,1,1,1,1,1,1,10
38997,484,26,MI,49,GENESEE,1,1,1,1,1,1,1,1,1,1,10
39046,922,6,CA,25,IMPERIAL,1,1,1,1,1,1,1,1,0,1,9
39381,321,12,FL,127,VOLUSIA,1,1,1,1,1,1,1,1,1,1,10
39575,317,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39725,954,6,CA,97,SONOMA,1,1,1,1,1,1,1,1,1,1,10
39734,166,42,PA,13,BLAIR,1,1,1,1,1,1,0,0,0,0,6
39978,228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40160,797,48,TX,135,ECTOR,1,1,1,1,1,1,1,1,1,1,10
40187,321,12,FL,127,VOLUSIA,1,1,1,1,1,1,0,0,0,0,6
40381,278,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40405,700,22,LA,51,JEFFERSON,1,1,1,1,1,1,1,1,1,1,10
40504,898,32,NV,7,ELKO,1,1,1,1,1,1,1,1,1,1,10
40541,286,37,NC,193,WILKES,1,1,1,1,1,1,1,1,1,1,10
40563,60,9,CT,3,HARTFORD,1,1,1,1,1,1,1,1,1,1,10
40572,29,44,RI,7,PROVIDENCE,1,1,1,1,1,1,1,1,1,1,10
40966,253,54,WV,39,KANAWHA,1,1,1,1,1,1,1,1,1,1,10
41187,304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41347,217,24,MD,27,HOWARD,1,1,1,1,1,1,1,1,1,1,10
41482,601,17,IL,31,COOK,1,1,1,1,1,1,1,0,0,0,7
41772,109,36,NY,71,ORANGE,1,1,1,1,1,1,1,1,1,1,10
41799,323,12,FL,73,LEON,1,1,1,1,1,1,0,0,0,0,6
41993,164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42396,384,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42578,217,24,MD,21,FREDERICK,1,1,1,1,1,1,1,1,1,1,10
42660,342,12,FL,81,MANATEE,1,1,1,1,1,1,1,1,1,1,10
42799,278,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43202,706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43226,704,22,LA,103,ST TAMMANY,1,1,1,1,1,1,1,1,1,1,10
43605,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43755,954,6,CA,97,SONOMA,1,1,1,1,1,1,1,1,1,1,10
43787,150,42,PA,129,WESTMORELND,1,1,1,1,1,1,1,1,1,1,10
44081,605,17,IL,89,KANE,1,1,1,1,1,1,1,1,1,1,10
44109,435,39,OH,95,LUCAS,1,1,1,1,1,1,1,1,1,1,10
44236,926,6,CA,59,ORANGE,1,1,1,1,1,1,1,1,1,1,10
44257,935,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44326,750,48,TX,85,COLLIN,1,1,1,1,1,1,1,1,1,1,10
44411,242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44516,719,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
44517,207,24,MD,33,PRNC GEORGES,1,1,1,1,1,1,1,1,1,1,10
44558,301,13,GA,143,HARALSON,1,1,1,1,1,1,1,1,1,1,10
44814,326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
45042,630,29,MO,189,ST LOUIS,1,1,1,1,1,1,1,1,1,1,10
45241,705,22,LA,39,EVANGELINE,1,1,1,1,1,1,1,1,1,1,10
45399,775,48,TX,167,GALVESTON,1,1,1,1,1,1,1,1,1,1,10
45558,333,12,FL,11,BROWARD,1,1,1,1,1,1,1,1,1,1,10
46047,706,22,LA,19,CALCASIEU,1,1,1,1,1,1,1,1,1,1,10
46205,458,39,OH,107,MERCER,1,1,1,1,1,1,1,1,1,1,10
46853,706,22,LA,3,ALLEN,1,1,1,1,1,1,1,1,1,0,9
47011,10,25,MA,13,HAMPDEN,1,1,1,1,1,1,1,1,1,1,10
47087,42,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
47115,534,55,WI,101,RACINE,1,1,1,1,1,1,1,1,1,1,10
47379,315,13,GA,305,WAYNE,1,1,1,1,1,1,1,1,1,1,10
47654,752,48,TX,113,DALLAS,1,1,1,1,1,1,1,1,0,0,8
47817,170,42,PA,67,JUNIATA,1,1,1,1,1,1,1,1,1,1,10
47976,38,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
47985,549,55,WI,139,WINNEBAGO,1,1,1,1,1,1,1,1,1,1,10
48057,752,48,TX,113,DALLAS,1,1,1,1,1,1,1,1,0,0,8
48460,752,48,TX,113,DALLAS,1,1,1,1,1,1,1,0,0,0,7
48669,301,13,GA,97,DOUGLAS,1,1,1,1,1,1,1,1,1,1,10
48727,851,4,AZ,21,PINAL,1,1,1,1,1,1,0,1,1,1,9
48727,852,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48822,542,55,WI,29,DOOR,1,1,1,1,1,1,1,1,1,1,10
48868,707,22,LA,77,POINT COUPEE,1,1,1,1,1,1,1,1,1,1,10
48994,954,6,CA,45,MENDOCINO,1,1,1,1,1,1,1,1,1,1,10
49130,864,4,AZ,15,MOHAVE,1,1,1,1,1,1,1,1,1,1,10
49243,317,13,GA,95,DOUGHERTY,1,1,1,1,1,1,1,1,1,1,10
49334,64,9,CT,9,NEW HAVEN,1,1,1,1,1,1,0,0,0,0,6
49342,153,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
49429,277,37,NC,63,DURHAM,1,1,1,1,1,1,1,1,1,1,10
49669,752,48,TX,113,DALLAS,1,1,1,1,1,1,1,1,0,0,8
49832,212,24,MD,510,BALTIMORE CT,1,1,1,1,1,1,1,1,1,0,9
49878,272,37,NC,67,FORSYTH,1,1,1,1,1,1,1,1,1,1,10
50053,719,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50475,752,48,TX,113,DALLAS,1,1,1,1,1,1,1,1,0,0,8
